id	label	url	description
115	התנסות מעשית במרחב המשולב באמצעות שימוש בפלטפורמה חדשנית פיזיטלית להבניית ידע ומיומנויות בקרב פרחי הוראה: מחקר ופיתוח	https://chief-scientist.education.gov.il/knowledge/publications/practical-experience/	Scraped Publication
116	לקחים מהקורונה באשר לקידום צוותי הוראה וניהול	https://chief-scientist.education.gov.il/knowledge/publications/lessons-from-the-corona/	Scraped Publication
117	ניהול מחקרים במוסדות חינוך הבוחנים תופעות של מצוקה נפשית משמעותית: סקירת מדיניות	https://chief-scientist.education.gov.il/knowledge/publications/research-management/	Scraped Publication
118	סקירת תוכנית הלימודים האוסטרלית בדרמה	https://chief-scientist.education.gov.il/knowledge/publications/curriculum-review/	Scraped Publication
119	היבטים בתוכנית הלימודים לדרמה ותיאטרון בקולומביה הבריטית, קנדה	https://chief-scientist.education.gov.il/knowledge/publications/aspects-of-the-curriculum/	Scraped Publication
120	חינוך לתאטרון וחינוך באמצעות תאטרון	https://chief-scientist.education.gov.il/knowledge/publications/theater-education/	Scraped Publication
121	מבט על תוכניות לימוד בדרמה ותיאטרון במדינות בעולם	https://chief-scientist.education.gov.il/knowledge/publications/look-at-study-programs/	Scraped Publication
122	מגמות לימוד טכנולוגיות בעולם	https://chief-scientist.education.gov.il/knowledge/publications/technology-study-trends/	Scraped Publication
123	אור ירוק לקריאה: תוכנית תגובה להתערבות בכיתה ב'-ג' הטמעת מודל להכשרת מורים	https://chief-scientist.education.gov.il/knowledge/publications/green-light/	Scraped Publication
124	"מידעון פסח תשפ""ב"	https://chief-scientist.education.gov.il/knowledge/publications/info-pesach-tashpab/	Scraped Publication
125	גישה היברידית להכשרת מורים ליצירה ותמיכה בתהליכי למידה עצמאיים	https://chief-scientist.education.gov.il/knowledge/publications/hybrid-approach/	Scraped Publication
126	ההשפעה של למידה מרחוק על היבטים רגשיים וחברתיים, דרכי פעולה, הוראה ודרכי התמודדות עם אתגרים רגשיים-חברתיים של למידה מרחוק	https://chief-scientist.education.gov.il/knowledge/publications/distance-learning/	Scraped Publication
127	התמודדות צוותי הוראה עם משבר מגפת הקורונה: שלוֹמוּת, גורמי פגיעות וחוסן בזרמים הממלכתי, הממלכתי-דתי והערבי	https://chief-scientist.education.gov.il/knowledge/publications/teaching-staff/	Scraped Publication
128	הוראה מקוונת מרחוק בזמן מגפת הקורונה בקרב מורים לחינוך גופני בישראל: הקשר בין מדיניות תומכת וניסיון בהוראה מקוונת מרחוק לבין לחץ בעבודה, חוסן, רווחה נפשית ומסוגלות מקצועית	https://chief-scientist.education.gov.il/knowledge/publications/online-distance-learning/	Scraped Publication
129	שלומות ורווחה נפשית בקרב מורים המלמדים בבתי ספר יסודיים במהלך הגל הראשון והשני של הקורונה	https://chief-scientist.education.gov.il/knowledge/publications/peace-and-mental-well-being/	Scraped Publication
130	טכנולוגיות דיגיטליות להשבחת תהליכי הוראה, למידה והערכה בלמידה מקוונת בעת חירום בבתי ספר יסודיים בישראל	https://chief-scientist.education.gov.il/knowledge/publications/digital-technologies/	Scraped Publication
131	לא יוצאים מהמסך: הקשר בין שימוש במסכים בתקופת הקורונה, פרקטיקות הוריות, ותפקוד רגשי ואקדמי בקרב תלמידי כיתות ה'-ט' בחינוך הממלכתי	https://chief-scientist.education.gov.il/knowledge/publications/do-not-leave-the-screen/	Scraped Publication
132	הערכה וצמצום פערים	https://chief-scientist.education.gov.il/knowledge/publications/assessment/	Scraped Publication
133	הערכה מכוונת מגוון בכיתה	https://chief-scientist.education.gov.il/knowledge/publications/intentional-assessment/	Scraped Publication
134	התפקיד של קונפליקט משפחה-עבודה בקשר בין תמיכה משפחתית וארגונית לבין מסוגלות עצמית כמורה וכהורה בקרב מורים-הורים בתקופת הקורונה	https://chief-scientist.education.gov.il/knowledge/publications/family-work/	Scraped Publication
135	היבטים רגשיים-חברתיים בהוראה מקוונת בקרב מורים בכיתות ד' עד י' בתקופת הקורונה	https://chief-scientist.education.gov.il/knowledge/publications/emotional-social-aspects/	Scraped Publication
136	שחיקת מורים בשל ההוראה מרחוק בקורונה והקשר לשלומותם הפסיכולוגית ורווחתם התעסוקתית	https://chief-scientist.education.gov.il/knowledge/publications/teacher-burnout/	Scraped Publication
137	רווחה נפשית בקרב מורים במגזר הערבי והדרוזי בתקופת משבר הקורונה: בחינת דרישות התפקיד, משאבים אישיים ותחושת מחויבות יתר למקצוע ההוראה	https://chief-scientist.education.gov.il/knowledge/publications/emotional-welfare/	Scraped Publication
138	פערים ותהליכי אי-שוויון בגיל הרך בעקבות תקופת הקורונה	https://chief-scientist.education.gov.il/knowledge/publications/gaps/	Scraped Publication
139	מחקר התערבות לטיפוח האוריינות בקרב ילדי גן דוברי ערבית כשפת אם בישראל	https://chief-scientist.education.gov.il/knowledge/publications/intervention-study/	Scraped Publication
140	ההשפעה המתמשכת של תקופת הקורונה על רווחתם הנפשית והתפקודית של בני נוער בישראל: מחקר אורך עם היבט בינלאומי	https://chief-scientist.education.gov.il/knowledge/publications/corona-period/	Scraped Publication
141	היבטים תרבותיים-חברתיים של ארגון הוראה ולמידה מרחוק באמצעות טכנולוגיה בתקופת חירום: בתי ספר יהודים ובתי ספר ערבים בירושלים	https://chief-scientist.education.gov.il/knowledge/publications/cultural-aspects/	Scraped Publication
142	הערכה של למידה והוראה מקוונת - תפיסות, סוגי הידע ויכולת רפלקטיבית של מורים	https://chief-scientist.education.gov.il/knowledge/publications/online-learning-and-teaching/	Scraped Publication
143	מחקר הערכת הלמידה המקוונת בחינוך המדעי והמתמטי העל יסודי	https://chief-scientist.education.gov.il/knowledge/publications/evaluating-online-learning/	Scraped Publication
144	"הקשר בין  ערכים של מורים ואקלים בית הספר לשילוב טכנולוגיה בהוראה בתנאי חממ""ה (חינוך מקוון מרחוק המוני)"	https://chief-scientist.education.gov.il/knowledge/publications/values-of-teachers/	Scraped Publication
145	"טיפול באמנויות בפורמט ""מענה טיפולי מרחוק"" במערכת החינוך בישראל"	https://chief-scientist.education.gov.il/knowledge/publications/arts-therapy/	Scraped Publication
146	עושים תנועה בסגר - גמישות בפעולה: הפרקטיקות החינוכיות בתנועות הנוער בעת הקורונה	https://chief-scientist.education.gov.il/knowledge/publications/make-movement-in-closure/	Scraped Publication
147	מאפייני תהליכי פיתוח מקצועי להוראה מקוונת ומאפייני פעילויות הוראה של מורים בבתי ספר יסודיים בתקופת סגרי הקורונה	https://chief-scientist.education.gov.il/knowledge/publications/professional-development-processes/	Scraped Publication
148	מי הם בעלי העניין שהשפיעו על מעמד המורה בתקופת הקורונה?	https://chief-scientist.education.gov.il/knowledge/publications/status-of-the-teacher/	Scraped Publication
149	טכנולוגיה חדשנית לעידוד למידה במרחב המקוון	https://chief-scientist.education.gov.il/knowledge/publications/innovative-technology/	Scraped Publication
150	ניתוח פרקטיקות של הוראה מקוונת בקרב מורים בבתי ספר יסודיים בראי הקשב, התאמה לשונות לומדים והקשר לחוללות עצמית של מורים בסביבה המקוונת	https://chief-scientist.education.gov.il/knowledge/publications/analysis-of-teaching-practices/	Scraped Publication
151	שימוש בטכנולוגיה דיגיטלית ניידת (Mobile-learning) בהוראה מקוונת: אפיון החוויות המעצבות בתהליך האימוץ של הוראה מבוססות ML ויישומה בהוראה מקוונת בבית הספר, בקרב מורים בפועל ופרחי הוראה	https://chief-scientist.education.gov.il/knowledge/publications/mobile-digital-technology/	Scraped Publication
152	לימודי מקצועות הרוח בבית הספר בצרפת, סינגפור, איטליה ומדינת ניו יורק	https://chief-scientist.education.gov.il/knowledge/publications/studies-of-spiritual-professions/	Scraped Publication
153	הטמעת מחקר במדיניות חינוך - סקירת מודלים ממדינות נבחרות	https://chief-scientist.education.gov.il/knowledge/publications/implementation-research/	Scraped Publication
154	סקירת ספרות ומסמכי מדיניות העוסקים בהכשרת מורים להוראה ולמידה מרחוק	https://chief-scientist.education.gov.il/knowledge/publications/review-of-the-literature/	Scraped Publication
155	אוטנומיה בית ספרית ושוויון הזדמנויות בחינוך	https://chief-scientist.education.gov.il/knowledge/publications/school-autonomy/	Scraped Publication
156	אוטונומיה וגמישות פדגוגית	https://chief-scientist.education.gov.il/knowledge/publications/autonomy/	Scraped Publication
157	למידה מרחוק במגזר החרדי בתקופת הקורונה: אסטרטגיות, עמדות ויעילות	https://chief-scientist.education.gov.il/knowledge/publications/strategies/	Scraped Publication
158	הוראת אוצר מילים בשפה ראשונה בקרב מתבגרים תלמידי חטיבת ביניים	https://chief-scientist.education.gov.il/knowledge/publications/vocabulary/	Scraped Publication
